Project;Type;Platform;янв.13;фев.13;мар.13;апр.13;май.13;июн.13;июл.13;авг.13;сен.13;окт.13;ноя.13;дек.13;янв.14;фев.14;мар.14;апр.14;май.14;июн.14;июл.14;авг.14;сен.14;окт.14;ноя.14;дек.14;янв.15;фев.15;мар.15;апр.15;май.15;июн.15;июл.15;авг.15;сен.15;окт.15;ноя.15;дек.15;янв.16;фев.16;мар.16;апр.16;май.16;июн.16;июл.16;авг.16;сен.16;окт.16;ноя.16;дек.16;янв.17;фев.17;мар.17;апр.17;май.17;июн.17;июл.17;авг.17;сен.17;окт.17;ноя.17;дек.17;янв.18;фев.18;мар.18
Екатеринбург;Филиал;ПК;446862;442659;472100;470390;453138;438707;438180;433528;431721;441059;428308;418057;406090;399487;403687;393445;372526;363320;359364;337075;349484;357594;344611;339660;322264;316833;323769;312835;295407;290275;288342;284912;280164;287232;279681;272397;259448;260339;263140;252148;238947;234480;225675;222971;224242;225472;218633;212492;203367;198879;203803;192642;185625;175768;167411;166761;165223;167891;163507;157753;152582;147614;145910
Иваново;Франчайзи;Мобилка;10428;11749;14860;16092;18939;20898;23747;26171;27707;28348;30139;32841;33783;32094;36412;29779;31346;32680;35410;33246;35717;35161;36040;34912;35748;34478;35840;35615;36991;39471;41764;43190;41384;42514;42064;43306;43217;43680;44951;44436;44377;45514;46753;46662;48591;46933;45470;46003;46333;45646;47132;47444;48351;49982;52411;53784;52432;52760;52406;53274;54009;51824;54379
Иваново;Франчайзи;Онлайн;19509;24796;27225;29364;26297;31333;40631;41136;43094;37272;39375;40376;41682;37405;39233;26926;18343;17153;15535;15294;17357;20808;22452;23021;26506;34918;43287;46883;45830;60915;53211;53070;53437;55737;50373;50268;46664;48977;51538;47203;44610;47177;42759;44949;41973;43264;45297;46507;47478;47069;55828;51282;52506;51430;60164;65340;67238;72080;71717;74452;73915;73339;84611
Иваново;Франчайзи;ПК;7535;7831;8674;8941;8519;8415;8844;8758;9157;9440;9271;9087;9057;8998;9242;8964;8241;8234;8072;7291;7809;8280;7864;7800;7410;7401;7686;7609;6983;7105;7077;7147;6815;7021;6996;6610;6233;6454;6616;6282;5830;5805;5441;5550;5520;5473;5428;5045;4860;4806;4932;4685;4492;4277;4005;3910;3818;3950;3857;3686;3579;3432;3457
Ижевск;Франчайзи;Мобилка;14917;16860;21081;22296;25769;27474;31823;35406;37587;40374;42416;45672;47608;47853;54572;54673;56306;59227;64198;65734;68439;70708;73015;74607;75348;74421;77468;77844;80027;85082;93471;96864;96860;99721;98711;102994;102430;103169;105725;105171;104142;106226;110868;113908;121690;122104;118829;121623;123432;122729;127834;127083;128845;132449;140288;146699;143316;144682;145748;146651;147585;143430;149862
Ижевск;Франчайзи;Онлайн;31586;37955;39975;41764;37669;42144;56620;61437;64190;65672;66782;68813;68079;61690;72176;55996;41833;40620;41885;42043;48852;59641;63463;69960;75238;90327;111156;118416;116729;143601;140131;137538;135802;145021;129447;137588;127702;132130;139941;135549;125512;130405;121585;124574;116467;119417;120997;128193;126481;125235;143510;136476;137952;138080;155057;163254;164908;174209;177622;180077;172508;167753;186664
Ижевск;Франчайзи;ПК;24327;25163;27266;27566;26551;26181;27086;27564;27633;28812;28204;27762;27655;27693;28722;27385;25404;25028;24958;22921;24052;25093;24337;23848;22823;22869;23313;22580;20818;20763;20959;20854;20137;20769;20423;19653;19082;18838;19397;18338;17004;16709;16189;16078;16052;16076;15618;15123;14663;14370;14765;13732;12968;12336;11710;11688;11613;11741;11900;11005;10811;10311;10127
Йошкар-Ола;Франчайзи;Мобилка;8772;9838;12471;13356;15811;16993;19307;21879;23194;24192;26025;28326;29416;29160;33065;28203;29169;31149;34067;34114;33297;36349;37330;37754;38349;37000;38823;38868;39014;39848;43200;44921;44177;45251;44985;47101;47622;46899;47520;47208;47478;48520;51165;52171;52345;50476;48151;49178;50192;49079;50391;50058;51397;52543;56459;59521;56418;56077;56490;57808;59328;55665;58632
Йошкар-Ола;Франчайзи;Онлайн;18730;22707;24433;26772;24167;29888;38634;40060;43361;37719;41049;43289;49228;44310;48478;35753;27337;25533;23979;21337;22533;26738;28062;29223;31323;35407;45450;48427;46401;58784;53097;51658;51807;56907;49770;50341;46456;47979;50898;47697;42801;45238;42040;43334;40097;40964;41545;44195;43482;43728;48202;46235;46090;45763;52718;56763;57534;62149;62628;67999;63761;62688;71017
Йошкар-Ола;Франчайзи;ПК;8504;9248;10237;10628;10117;10057;10280;10446;10329;10449;10167;10030;10057;9790;10145;9735;8892;8762;8585;7782;8102;8576;8352;8058;7717;7556;7753;7584;6886;6703;6764;6677;6510;6627;6501;6291;6002;5944;6123;5705;5394;5263;5041;4934;4857;4879;4751;4611;4426;4281;4407;4055;3819;3622;3427;3468;3404;3457;3358;3216;3118;3022;2980
Иркутск;Франчайзи;Мобилка;31978;37134;45903;48531;54809;58836;65222;71186;78487;85437;90304;99472;107219;109268;120111;145415;150168;154833;159490;173136;169769;173529;186632;194961;196182;196216;204415;201616;205320;207111;215001;220027;229817;237649;238229;247750;249182;250164;256524;253146;251069;256465;261230;270498;280772;286027;280312;287249;288733;289040;301606;294227;299301;307349;321327;332335;329422;332581;331611;338802;335859;333289;348697
Иркутск;Франчайзи;Онлайн;69214;77656;73087;72526;66195;67938;77976;81273;89949;127277;129500;116627;101814;96850;106803;107948;79988;73641;89090;107963;115493;133046;136231;140996;153465;174582;208415;216775;210849;236771;224784;219765;224911;235189;217075;234740;217886;231180;241539;235396;222402;245175;215539;227632;217245;227490;226573;236960;232243;231505;253133;237921;243133;241532;267634;285520;295287;311910;308631;319305;306519;310938;373733
Иркутск;Франчайзи;ПК;198742;199041;210768;210505;202653;197640;194095;192161;194613;197040;192975;189202;185168;182403;183345;176901;171950;164914;160129;152963;159350;162308;158206;156436;149687;148830;150217;143898;137594;134468;130339;129121;129979;131775;129560;127034;121539;122904;123292;119266;112707;109347;104439;105316;104653;106604;103940;101559;97305;95441;97468;91791;88776;83919;79965;80407;79674;81340;79166;76158;73653;71577;71138
Иссык-Куль;Франчайзи;Мобилка;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7943;16167;17924;4609;1071;545;337;271;166;118
Иссык-Куль;Франчайзи;Онлайн;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5549;11435;8007;64;0;0;0;0;0;0
Иссык-Куль;Франчайзи;ПК;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;133;100;74;60;55;50;44;52;54
КавМинВоды;Франчайзи;Мобилка;0;0;0;0;10893;14374;18269;21341;23375;24996;27497;30289;31851;31316;36015;27507;29898;31009;34776;34033;33681;32230;31503;30357;33062;31915;34380;34303;35290;34914;38732;40764;37185;37247;36196;36876;38209;37149;38980;39731;40760;41170;46012;46600;43301;40114;37786;36852;40325;38659;41022;42226;44855;45766;52153;56474;49658;47520;45582;44879;47933;43139;47856
КавМинВоды;Франчайзи;Онлайн;0;0;0;0;1392;4815;9560;12794;4409;14880;17575;19220;20398;19977;22653;18349;16781;16263;15843;18676;21492;26911;28851;31341;39344;47176;57778;55713;59155;65983;69832;67324;61720;62157;53683;61462;59116;59161;61501;56268;55667;59782;58417;59922;50376;50216;52020;54303;57798;55361;58720;53363;65328;53365;68715;75206;72944;74892;73856;78339;82908;80728;90343
КавМинВоды;Франчайзи;ПК;0;0;0;0;2105;2053;2837;2987;3208;3202;3151;3103;3063;3164;3405;3367;3128;3216;3307;2868;3090;3185;3056;2968;2930;2930;3220;3060;3007;3083;3160;3105;2918;2965;2767;2646;2503;2588;2868;2704;2561;2619;2648;2606;2414;2372;2280;2138;2120;2099;2272;2034;1992;1870;1838;1898;1801;1703;1656;1533;1527;1474;1597
Казань;Филиал;Мобилка;45636;50262;63437;68416;80988;87325;101819;112748;124799;134302;142703;152597;163041;163741;184666;196505;201878;210986;227191;243421;244999;246185;256482;260454;266092;261129;278141;275474;279587;286103;313725;330203;325710;324665;325322;328943;334866;335864;349503;351571;355922;358036;379977;390971;389910;387849;375439;375491;381984;375549;390590;393328;407569;424695;455641;472754;446419;444314;442197;443027;446876;428851;451169
Казань;Филиал;Онлайн;68560;80068;77964;74620;68664;52821;67594;88076;94989;113954;118378;119331;121194;121967;140216;136443;112393;113685;112059;118152;128567;146637;153784;163200;181348;213998;275916;272461;269666;313301;319430;312954;305187;304838;268333;291425;274486;305763;312263;299831;283049;317948;288429;294897;275917;282880;285250;302062;284976;279874;315343;301461;303540;307783;348337;372412;379479;398208;397233;409577;390619;384502;430531
Казань;Филиал;ПК;152623;151602;160943;159610;153645;149452;150846;148033;149838;151000;147348;144461;141384;137829;139581;134307;124995;122569;119337;112258;116153;117582;113713;111464;105025;102593;105907;101104;93338;92175;91848;90173;88395;89193;86458;84270;79614;80301;81012;77616;72680;71059;68024;67499;67469;66589;64681;62279;60045;58206;60090;56721;53821;51571;48748;48069;47565;48022;46765;44391;43478;41964;41415
Калининград;Франчайзи;Мобилка;11737;13618;17316;18233;21462;22776;26308;28961;31179;32783;35294;38368;39599;39105;43860;44850;47478;48661;53229;55200;55289;54967;56692;58170;58800;58400;61311;61702;65575;68537;74656;76752;74483;75638;75469;79485;80596;80931;83802;83296;84502;86338;92563;99849;99862;99091;97134;100152;100411;99675;104801;106385;109774;113317;122448;128008;123357;122233;121730;124084;124504;121174;128685
Калининград;Франчайзи;Онлайн;27691;36199;39003;39513;36845;44311;53258;52001;52541;50095;54901;56562;57980;52535;54924;45081;38902;36607;33890;36117;41051;47877;52835;56780;65071;78854;93560;97282;99533;118896;114719;110654;107498;110303;98007;108131;100823;105802;112351;106495;101871;107267;107896;116051;101505;102643;102173;106705;104447;102191;120884;114207;115337;117141;146474;147335;149060;149323;150643;150704;150100;153877;168874
Калининград;Франчайзи;ПК;19368;19910;21717;22273;21859;21566;22672;22377;22244;22674;22292;21933;22089;21688;21779;21132;20357;19892;19765;18411;18920;19462;19122;18959;18291;17572;18279;18094;17393;17045;17377;17093;16673;16748;16558;16120;15641;15819;15995;15234;14531;14311;14198;14453;13720;13633;13268;12990;12478;12109;12442;11842;11451;11092;10699;10602;10256;10440;10164;9708;9521;9216;9241
Калуга;Франчайзи;Мобилка;10406;11900;15980;17538;20638;22794;25036;28205;29562;29206;31001;33250;33139;31103;35127;29422;31811;32188;36351;31857;36320;33842;34980;32927;33138;32075;32764;32776;35336;37679;39538;41214;38347;39556;38156;40251;39233;40197;40180;39215;39048;40131;41609;41279;40155;37220;35680;36188;36265;35833;37091;36445;37260;38320;40465;41446;39867;39124;38857;39544;39557;37716;41292
Калуга;Франчайзи;Онлайн;16494;21450;23915;25713;22571;29188;41628;41027;44268;37012;38984;41869;45339;41681;43504;24259;20093;18252;16966;14994;16659;20379;22837;23245;27151;33681;41428;43405;43856;57869;50942;47405;48544;51680;47533;48878;45381;46882;48229;44548;42459;44828;41594;42909;39004;38509;40144;42493;42738;42687;51252;44932;45514;46036;52771;58462;62166;65449;65362;66922;66880;66327;71923
Калуга;Франчайзи;ПК;3855;4350;4967;5270;4833;4588;5067;4920;4892;5130;5143;4877;4868;4915;4969;4818;4432;4319;4317;3960;4155;4399;4346;4233;4023;3953;4021;3976;3743;3775;3807;3743;3612;3725;3597;3489;3285;3321;3434;3224;2995;2950;2706;2788;2723;2734;2674;2489;2464;2393;2423;2309;2230;2058;1984;1873;1867;1912;1851;1723;1702;1706;1660
Каменск-Уральский;Франчайзи;Мобилка;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10470;11768;13483;13013;13993;13960;14601;14913;16959;17722;16243;17087;17287;18178;18966;18453;18365;18095;18404;19200;20745;20115;19599;17670;16783;17207;18070;17743;18513;17841;17770;18357;19891;20425;18849;18694;18562;18720;19314;18117;19500
Каменск-Уральский;Франчайзи;Онлайн;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2344;3448;3297;6396;9517;11925;13044;17262;15659;15840;15478;18256;19284;20013;20094;19583;20386;19865;19237;20777;19706;19207;16462;18006;17713;18367;18860;18742;23170;18908;19487;19323;23708;29405;29222;31251;31072;32302;33970;33315;37716
Каменск-Уральский;Франчайзи;ПК;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1316;1609;1790;1866;2036;2043;1915;1945;2144;2082;2002;2068;2057;1976;1940;1981;2131;2009;1933;1876;1822;1833;1719;1776;1724;1649;1626;1612;1723;1574;1526;1410;1367;1392;1328;1330;1247;1135;1152;1177;1121
Караганда;Франчайзи;Мобилка;0;0;0;3197;5188;6402;8284;9657;10706;12548;14339;16983;19833;20592;22982;24758;27637;29401;32903;36453;39391;44113;50816;54247;58651;59930;64517;64006;66712;68849;72888;79412;82738;86949;88946;93130;97052;96494;102648;100921;103004;105217;110140;117010;123893;128882;127415;133794;139943;139291;147519;149673;156709;162214;174810;186870;186923;190639;193989;197882;195130;195461;209235
Караганда;Франчайзи;Онлайн;0;0;0;492;5077;6760;8120;6925;10652;15405;20436;22351;29012;29206;30865;28887;29236;33136;32736;32878;34818;39922;44713;45339;50919;59912;66515;67989;63218;76618;70849;70469;68548;66300;51931;69855;78314;86467;91815;88662;91166;103914;98047;100479;96569;96381;96994;97383;110112;106526;115447;116601;123621;129127;151231;161553;159691;175118;179322;217083;225760;217438;230359
Караганда;Франчайзи;ПК;0;0;0;1198;1923;2400;3305;4270;4342;4882;5507;5998;7075;7540;8117;7651;7332;6950;6824;6366;6708;7028;7128;6996;7068;6817;6778;6604;6164;6199;6098;6026;5882;5988;5949;5548;5599;5619;5453;5188;4936;4893;4640;4741;4538;4631;4431;4223;4248;4116;4144;3904;3758;3587;3291;3329;3169;3187;3128;2847;2877;2779;2712
Кемерово;Франчайзи;Мобилка;30552;35052;43663;47129;54615;57998;63380;70454;74035;81338;86002;93542;99989;100753;112245;110199;113827;116372;120445;129261;128052;132072;131101;138547;139339;139008;144421;143234;143505;139883;144089;147583;151621;154873;155293;161960;164787;162458;167541;165036;165820;166341;170394;173412;178001;177229;171681;176858;177165;174898;178878;177047;179977;181742;187899;193221;189638;192033;190881;195276;192030;191056;209806
Кемерово;Франчайзи;Онлайн;73006;71650;65339;62991;60985;56744;65941;69207;70355;111781;108305;97717;86229;83384;94807;98674;75155;69794;76316;83701;87192;96974;97166;99174;104575;115627;134861;142677;140322;159541;151297;151598;154244;164250;152752;161493;152273;154177;163302;157039;152176;163520;147977;153082;142307;153146;151882;161287;157087;155187;166744;167030;165027;160090;175880;190538;192454;205288;200289;212042;198469;199480;253561
Кемерово;Франчайзи;ПК;144871;144211;152284;153164;149272;142473;142102;141368;139722;142658;139743;137424;134599;132289;133946;129784;125275;120071;118157;112724;116903;119584;115445;114356;109023;108583;110302;106225;101052;98575;96811;96790;96378;97655;95997;93438;90429;90886;92034;88333;84646;81183;79225;78958;77489;79610;77468;75415;73316;71579;73158;69577;67223;62642;60570;60453;59706;60775;59038;57051;55102;54155;55625
Київ;Франчайзи;Мобилка;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41076;66947;71195;83688;93758;85205;90058;86566;81267;80268;76715;76668;81842;82367;108943;111626;110370;111485;114301;115861;115237;117739;115225;116334;131901
Київ;Франчайзи;Онлайн;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152527;191957;204729;160310;139250;96036;77149;119701;106949;96544;81650;76478;97664;91655;127107;106772;116882;117045;143743;151451;166455;176109;183018;187172;207495
Київ;Франчайзи;ПК;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2178;2642;2739;2720;2878;2757;2790;2727;2706;2516;2368;2372;2394;2217;2309;2331;2224;2167;2261;2308;2332;2201;2257;2238;2238
Кипр;Франчайзи;Мобилка;0;0;0;0;0;0;3260;4881;4731;4317;3509;3970;5519;6692;8414;9143;11817;13384;15536;15821;14866;15149;13543;13286;14111;13982;14991;15375;20319;18063;18654;18206;17338;16546;15952;16753;17119;17127;18094;18571;20154;20809;21989;22024;24006;20149;18988;20904;22610;24946;27530;28002;29629;30091;33180;35124;37983;36030;31799;32643;31036;31907;34752
Кипр;Франчайзи;Онлайн;0;0;0;0;0;0;2688;18385;11951;20788;26448;24677;32013;33871;50662;28999;21093;20121;23967;26914;32917;36060;48591;43474;49397;50130;54965;51435;42334;41428;42476;38686;41698;45259;42562;49071;48713;48204;50323;50975;53767;54837;56787;54710;59759;56238;51711;47181;52661;52229;63299;62302;71996;70320;85042;83790;95130;95821;92130;99565;103371;94824;112967
Кипр;Франчайзи;ПК;0;0;0;0;0;0;882;1045;1027;933;926;796;906;1009;1021;944;1091;1091;1154;889;940;903;956;890;871;854;896;832;846;805;780;741;839;769;794;732;742;763;765;745;824;772;751;682;795;728;697;746;793;746;758;748;763;669;654;631;681;643;580;547;578;571;561
Киров;Франчайзи;Мобилка;9627;10758;13624;14445;17012;18288;20427;22605;24747;26133;28082;30405;31488;31140;35243;33975;34813;36658;40130;37592;43027;44787;45637;46109;46740;45473;48316;47799;48762;51874;55240;58289;59076;61846;60893;62862;63967;63880;65322;64157;63418;66079;68195;70318;74686;74138;72450;74007;74739;73996;76275;75426;77170;79478;84095;88510;87172;87492;86242;87890;89487;85668;89850
Киров;Франчайзи;Онлайн;18005;23046;23594;24941;24342;28435;38538;40312;43151;40606;42205;42844;43912;41418;45832;30113;18378;18923;19273;19884;30461;38373;49750;48600;42567;52194;70782;77047;75914;98257;93061;95413;96834;104000;96883;97061;89037;91734;96323;90188;88417;88295;80518;83261;76473;77723;77621;83570;83063;81298;90269;94223;91554;89807;102235;110169;117724;124859;123521;130246;121265;121806;137670
Киров;Франчайзи;ПК;8156;8604;9528;9868;9277;9169;9325;9341;9532;9951;9958;9904;10007;10157;10523;10132;9265;9150;9056;8214;8898;9529;9155;9017;8766;8710;8984;8733;7993;8158;8243;8250;8135;8334;8292;8111;7767;7954;8028;7675;7070;7118;6811;6910;6875;6847;6776;6448;6202;6092;6348;5944;5767;5307;5042;5052;5077;5165;4985;4747;4777;4503;4494
Комсомольск-на-Амуре;Франчайзи;Мобилка;0;0;0;0;0;0;0;8952;10755;12002;13890;15991;18011;18476;21150;17933;19669;20805;23776;24243;21714;24356;27362;28874;32264;31250;33126;33354;34675;35801;39030;39378;39357;41759;42453;44861;47837;46219;47793;47455;47579;48888;51083;52366;52803;53215;52804;55072;56709;55869;57834;57887;59447;61133;64455;66128;64197;65409;64648;67074;68789;66356;69344
Комсомольск-на-Амуре;Франчайзи;Онлайн;0;0;0;0;0;0;0;1176;5515;10197;12406;13797;15653;16069;17602;12820;9087;7880;12717;15303;15824;18832;20292;21199;25014;26985;32079;33170;33743;37192;38096;35420;33871;38783;35537;39873;40107;40316;42394;41403;38870;41126;41273;40014;36200;38494;40640;41814;43141;43048;46334;47879;43456;43805;51108;52847;51670;56752;56806;62007;62754;58487;64733
Комсомольск-на-Амуре;Франчайзи;ПК;0;0;0;0;0;0;0;2407;2894;3077;3356;3511;3773;4022;4325;4067;4014;3987;4010;3619;4010;4270;4247;4191;4043;4089;4395;4294;3898;4015;4106;3964;3922;4104;3957;3858;3823;3869;4037;3833;3567;3516;3434;3365;3329;3426;3276;3212;3075;3117;3151;3044;2860;2714;2532;2526;2464;2538;2546;2419;2327;2274;2290
Кострома;Франчайзи;Мобилка;8867;9852;12342;13119;15563;16953;18649;20922;22081;22455;24199;26505;27479;25841;29266;26447;27990;29065;31710;30653;32451;33026;32954;32963;34116;32966;34193;33508;34657;36464;39053;40433;38740;39641;39061;41243;41424;40935;41645;41641;42115;42819;45209;46070;45341;44909;42481;43659;44658;43943;44777;44564;45775;47294;50404;52304;49399;49202;48470;49814;50829;48344;50607
Кострома;Франчайзи;Онлайн;17683;21637;22825;25082;22084;25762;34050;35211;36472;36950;38042;38565;38716;36333;40546;27213;18114;16032;16896;16751;19259;23713;25283;26466;28862;34121;44008;46448;46414;53022;55378;53511;54711;60157;57302;58985;57418;58327;61218;58731;51920;55275;53899;52478;47142;48991;48471;51853;52436;52360;57533;59542;56369;55440;64634;67734;71126;75045;74226;78299;75607;74478;82285
Кострома;Франчайзи;ПК;15155;14995;15994;15888;15231;14731;15021;14741;14627;14756;14527;14278;14181;13716;13803;13407;12595;12292;11941;11194;11565;11913;11682;11419;11003;10587;10906;10431;9729;9806;9734;9647;9420;9429;9283;8971;8438;8452;8535;8167;7662;7431;7174;7104;7033;7047;6815;6561;6344;6161;6302;5959;5758;5376;5187;5091;5065;5025;4913;4658;4537;4373;4373
Краснодар;Франчайзи;Мобилка;32135;37789;48531;52659;60181;67502;77513;85650;91865;97910;105259;114377;118294;119627;133362;127505;134478;141980;157343;149260;167433;154550;164281;166573;164947;169029;178503;179562;187769;195764;211530;221334;216984;216090;215089;220305;217242;223458;235014;235712;241484;250193;270978;276257;286835;280618;273751;273770;275905;279207;294520;294297;307844;316036;343227;361648;355021;349888;345764;347649;343518;340520;362229
Краснодар;Франчайзи;Онлайн;52697;66926;68296;66694;62562;74866;95317;97083;95285;98108;105490;110471;102973;98551;115304;91196;75850;74441;75390;76352;85146;98025;108174;118964;132731;168411;210713;216787;226086;252541;268933;260732;258391;255427;232904;252250;233811;254174;272654;258274;251123;261602;256370;261365;243439;243909;249535;260406;252825;256033;279030;264886;274071;273642;317374;339781;349522;351075;355686;376766;356235;360691;409826
Краснодар;Франчайзи;ПК;73874;75112;81245;81380;78335;78093;79938;79068;78069;78281;77072;75423;73779;72492;74643;72161;69310;68451;69082;63503;66167;66884;65778;64811;61611;61173;62649;60628;58046;58097;57384;56948;55557;55968;54451;52570;50306;51317;52178;49245;47508;46554;45706;44968;44174;43897;42424;40757;39655;38986;39805;36995;36020;34462;32750;32737;32079;32039;31042;29798;29235;28485;28238
Красноярск;Филиал;Мобилка;46067;52830;66084;70275;81354;86158;93471;105737;115728;127350;136288;148019;160517;164192;181682;222163;231751;236247;242890;268945;267223;270655;286968;297679;297414;298723;314093;309312;313789;313680;320811;334784;347921;357641;359751;369060;367318;370335;383334;377825;378616;381499;387552;399335;417961;425543;416929;425214;422911;422887;440792;434592;443004;449615;468713;484249;481338;486347;485783;496209;486993;485590;506780
Красноярск;Филиал;Онлайн;120837;128068;117573;110346;105734;101946;118036;133093;139034;233377;232367;207041;178463;168839;190779;185921;141680;127781;146820;170245;176748;197078;201390;205101;215878;248585;304997;311472;318292;333011;334797;343403;353879;369822;345118;355801;329797;339885;362887;350334;339908;367543;325268;339859;315419;332922;330034;357161;327315;326935;354985;345889;350770;340594;372827;402058;409103;432449;424150;448180;412956;421439;462165
Красноярск;Филиал;ПК;310246;309431;330812;329472;323464;314730;308943;310702;311627;316660;312209;306794;299197;294378;296732;288040;282411;268627;260607;252050;262740;266178;260997;257475;247212;244096;248459;239124;229744;224155;216815;217456;218069;222588;219018;213618;205477;206340;208281;201098;194151;185499;178483;180491;178383;182207;178010;173856;167467;164323;167569;159845;155323;145356;139176;140201;139563;141341;137824;134181;129558;127190;125944
Курган;Франчайзи;Мобилка;14734;16904;20717;22723;26679;28612;32713;35697;36563;39020;40980;44692;47199;47216;52191;49121;51024;53201;57301;59265;58576;60976;60444;63525;66592;64521;67384;65713;66724;66854;71375;73142;72281;74522;74790;78682;81112;79508;80967;80018;80452;82820;85592;85486;86540;85356;82306;84416;87452;84260;87307;85023;87469;89079;93842;97353;93799;94755;95357;97300;99240;95285;100440
Курган;Франчайзи;Онлайн;41891;40889;38217;38390;34456;34389;38957;39982;41755;63308;62766;62013;58702;56646;62810;57073;40453;36433;41393;44527;44434;50350;50968;53880;58019;62975;74812;75389;73603;77313;82871;81390;77931;85003;79365;83200;80727;83745;87280;81891;78337;83276;80132;81464;73805;78410;79573;83260;85189;82988;94351;85044;85952;83480;96302;104230;104257;109834;109646;115610;114206;111732;122496
Курган;Франчайзи;ПК;75222;73431;77474;76785;73938;71959;72422;71033;69671;71506;70190;69397;69141;67181;67703;65455;62037;60484;60348;56833;57555;59080;57725;57640;55907;54202;55322;52757;49721;48783;48874;48255;46785;48354;47588;46491;45131;45319;45779;43794;41486;40896;39392;38933;38631;39232;38629;37984;36954;35989;36756;34632;33226;31392;30025;29892;29897;30456;29932;29004;28454;27353;27087
Курск;Франчайзи;Мобилка;7743;8757;11392;12370;14721;15642;17405;19772;21481;21957;23466;25872;26286;25079;28252;24507;26053;27083;30196;25950;30624;30558;30943;31191;31757;31545;32659;31871;32984;34718;36824;38597;37888;39419;39245;41014;40733;41494;42124;40940;41514;41473;43524;44459;46120;44774;43632;44511;44846;44169;45582;44826;46185;46705;49225;50371;49226;49346;48926;50286;49832;47759;49759
Курск;Франчайзи;Онлайн;25288;32111;33562;35569;32417;38013;51035;52866;55603;51665;55762;57412;58450;54571;57026;35338;23975;21045;20934;21334;26220;30975;34401;36615;40243;48597;63984;63405;63626;71092;72066;68586;69751;72649;67560;69718;61459;65949;67646;61918;59223;61499;55495;57406;51911;52090;55385;59004;60041;60009;66607;69711;64616;61979;71152;73902;78582;83799;83967;88567;85617;84726;93999
Курск;Франчайзи;ПК;7551;8116;8669;8907;8350;8229;8356;8249;8231;8343;8107;7905;7913;7779;7873;7534;7043;6866;6688;6019;6558;6702;6530;6380;6128;6116;6340;5959;5556;5649;5496;5425;5333;5453;5338;5286;4869;5067;5088;4859;4514;4477;4227;4187;4119;4091;4001;3699;3629;3577;3647;3318;3255;3047;2774;2785;2709;2811;2679;2610;2513;2479;2362
Ленинск-Кузнецкий;Франчайзи;Мобилка;0;7545;11448;14093;16779;19342;22519;25686;26103;28730;30801;33477;36152;35880;40122;23524;24762;25681;28447;28423;25701;28277;24882;26586;28134;27673;28708;28030;27581;25895;27379;28329;26999;27238;27738;28973;30436;29404;29891;28911;29103;29820;32021;31651;30398;28098;27129;28532;30065;28968;29449;28799;29850;31190;34201;35519;31676;31636;31582;32397;32885;31838;33663
Ленинск-Кузнецкий;Франчайзи;Онлайн;0;0;2300;4251;5256;7608;7691;7087;7644;9922;10389;10156;11018;10308;10900;9616;7474;6367;7889;8811;8777;10718;10985;11586;13366;15019;17530;19085;19106;20013;21595;21924;20738;23635;24353;26688;27776;27528;28790;27610;25706;27077;27267;28000;24101;25603;26755;28835;30797;29927;29779;30908;28056;27909;35317;41919;39727;43893;42966;44751;48076;47399;52251
Ленинск-Кузнецкий;Франчайзи;ПК;0;2770;3395;4337;4425;4284;5054;5190;4919;5227;5281;5292;5486;5519;5984;6085;5776;5545;5812;5268;5521;5759;5511;5487;5208;5307;5702;5541;5215;5273;5317;5300;5181;5298;5063;4948;4583;4871;5024;4745;4500;4508;4353;4388;4271;4238;4062;3934;3907;3780;3996;3778;3595;3362;3291;3259;3141;3159;3122;2842;2734;2688;2757
Липецк;Франчайзи;Мобилка;9220;10606;13534;14172;17227;18461;20653;22473;24831;25622;27897;30421;31278;30524;34175;30464;32825;34037;37980;36480;38429;40337;40793;41252;41891;41593;43105;42902;44888;47487;50588;52644;52132;53795;54339;56912;57653;58469;59746;58048;59451;59891;62236;64073;65950;65202;64124;65552;66538;66516;68018;67042;69585;71360;75366;77468;75540;75503;75645;77597;78297;75534;78954
