Project;Type;Platform;янв.13;фев.13;мар.13;апр.13;май.13;июн.13;июл.13;авг.13;сен.13;окт.13;ноя.13;дек.13;янв.14;фев.14;мар.14;апр.14;май.14;июн.14;июл.14;авг.14;сен.14;окт.14;ноя.14;дек.14;янв.15;фев.15;мар.15;апр.15;май.15;июн.15;июл.15;авг.15;сен.15;окт.15;ноя.15;дек.15;янв.16;фев.16;мар.16;апр.16;май.16;июн.16;июл.16;авг.16;сен.16;окт.16;ноя.16;дек.16;янв.17;фев.17;мар.17;апр.17;май.17;июн.17;июл.17;авг.17;сен.17;окт.17;ноя.17;дек.17;янв.18;фев.18;мар.18
Бишкек;Франчайзи;Мобилка;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8054;10437;12910;14961;49879;57943;48358;46935;48979;50559;60512;68202;70736;75563;82249;85288;93643;101647;108929;119175;132481;143226;153900;158722;165741;175076;181472;184397;201114
Бишкек;Франчайзи;Онлайн;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10255;16615;22138;26711;54980;48032;40929;49026;45626;49673;55280;63515;65187;74430;78370;82304;107768;113485;113123;128034;157442;155778;178474;193404;208153;250190;270908;254307;280855
Бишкек;Франчайзи;ПК;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;638;633;741;870;1884;1792;1576;1538;1454;1494;1443;1475;1510;1417;1424;1357;1462;1387;1338;1393;1262;1289;1256;1233;1219;1112;1123;1084;1059
Благовещенск;Франчайзи;Мобилка;12252;14405;17458;18724;20498;22353;25175;27507;29867;32349;34735;38397;42091;41922;47411;56101;59678;60862;63545;68193;65247;67646;75354;79311;81098;79346;83861;83148;85510;87730;91312;94340;96363;98707;98165;101871;101723;102076;105852;103661;104634;107105;109760;113577;114364;115594;113087;115444;115677;114358;117624;116559;118336;120665;125446;129795;126369;127754;128168;131956;131065;128422;134439
Благовещенск;Франчайзи;Онлайн;17842;21543;21681;22178;20957;21715;25985;24138;24379;31638;34601;32647;27383;25731;27100;24490;17256;15928;22038;27922;28873;34941;37378;38813;42419;44941;54175;54489;64385;56919;60150;56792;56434;59398;53858;57977;57372;60720;64067;61799;60228;63307;60959;63429;58182;59208;58384;59999;60741;58994;68943;62749;63490;63606;75455;79950;79368;81607;81544;90391;84593;82688;91136
Благовещенск;Франчайзи;ПК;21411;22085;24175;24834;23761;23195;23820;23615;23920;24450;24798;24278;24305;24020;24527;23141;22581;21246;21085;19126;20114;20901;20273;19965;19010;18730;19287;18446;17525;17135;16873;16461;16577;16810;16437;15845;15164;15335;15498;14729;14009;13736;13301;13061;12877;12937;12756;12355;11749;11532;11887;11154;10766;10291;9806;9717;9381;9573;9356;9097;8824;8532;8373
Братск;Франчайзи;Мобилка;7216;8426;10273;10846;12303;13410;15139;16525;17600;18399;19443;21211;22587;22241;24912;23165;24583;24966;27562;28279;25977;28066;28611;29637;31476;30424;31628;31134;31931;32399;34584;35307;34585;35763;36322;38065;39616;38443;38987;38902;38885;38847;42035;42203;40842;40721;39653;41791;43124;42007;43665;42660;43593;44443;48105;49437;46871;46881;47422;48710;49978;47663;50669
Братск;Франчайзи;Онлайн;12968;15052;15109;16858;15438;15991;19830;20457;22313;28425;29257;29037;27311;25003;26477;20762;14308;11989;15414;18317;18562;21811;23351;24042;27430;28194;33656;34586;43434;35512;37330;37900;37489;40781;37708;40366;40977;41343;42553;41989;40325;39621;38904;39575;36813;39571;41103;43008;44680;43780;49973;44681;45803;44098;52574;56729;56357;59093;59241;63855;63529;61552;67351
Братск;Франчайзи;ПК;13955;14241;15364;15300;14719;13808;14376;14191;14097;14616;14049;13924;14062;13589;13924;13038;12488;11681;11737;10897;11417;11838;11404;11108;10688;10346;10749;10114;9483;9120;9269;9410;9384;9777;9571;9135;8816;8930;9056;8760;8058;7652;7490;7541;7183;7439;7230;6903;6757;6515;6740;6231;5862;5534;5254;5372;5228;5466;5254;4950;4856;4707;4674
Брянск;Франчайзи;Мобилка;6517;7419;9512;10423;12261;13433;14806;16608;17857;18084;19315;20768;21078;19893;22329;19088;20829;21286;25821;23308;24460;26105;24498;23629;24150;24378;24963;24770;26075;28144;30087;31144;29364;30537;29977;31565;31610;32096;32491;31847;32160;32447;34872;35117;35155;33665;32526;33057;33964;33323;34384;34215;35789;36432;39924;41089;39065;38392;38434;39621;39859;38225;40656
Брянск;Франчайзи;Онлайн;21720;27017;29023;31743;26997;33309;46581;46984;48285;43619;45913;47394;50682;46405;54002;29484;29247;29088;29889;34406;33723;37495;36172;23330;26632;33110;42779;44847;56783;51798;54814;53339;53000;56349;52391;52546;48103;51077;52300;47372;44045;47482;44349;45383;40810;40437;42201;45005;45420;45866;54439;47872;50242;49628;57944;57521;59668;65070;66169;68804;67904;68064;77408
Брянск;Франчайзи;ПК;4521;4724;5274;5436;5152;5065;5360;5041;5095;5198;5210;5016;5091;4880;4928;4796;4434;4300;4414;4162;4331;4359;4173;4039;4057;4194;4309;4105;3874;3896;3882;3782;3731;3718;3652;3445;3370;3438;3472;3194;2958;2924;2909;2874;2790;2791;2760;2564;2483;2410;2457;2279;2196;2121;1944;1983;1898;1945;1883;1756;1741;1675;1674
Великий Новгород;Франчайзи;Мобилка;8536;9608;13021;14655;17664;18924;21059;23586;24090;23426;24869;26456;26723;25135;28587;21886;23842;24073;26787;24241;24943;24823;24886;24008;25199;24339;25122;24831;26770;28414;30309;31559;29290;30289;29392;30940;31008;31183;31832;31749;32152;32710;34202;34461;32472;30131;28615;29056;29836;29120;29942;29616;30802;31399;33565;34647;32546;31849;31546;31848;32984;30822;32355
Великий Новгород;Франчайзи;Онлайн;12736;16181;16726;16814;14907;17617;25688;27423;28161;22023;23409;23078;24536;21869;24216;16018;9966;9014;9564;9771;11148;13288;15886;15456;16739;20746;26955;29328;32719;39188;35492;34434;33761;37087;35016;34450;31317;33084;34020;32410;29752;31788;28756;29675;25460;25116;25132;25278;24957;24784;31400;27418;27907;28878;34913;37840;39812;43979;44366;47815;45075;45323;51261
Великий Новгород;Франчайзи;ПК;3154;3548;4019;4159;3986;3821;3929;3836;3780;3949;3852;3651;3785;3622;3649;3649;3262;3285;3252;3043;3196;3369;3193;3060;2984;2951;3114;3040;2778;2864;2878;2738;2727;2752;2709;2612;2461;2574;2680;2528;2268;2249;2212;2164;2045;2059;2002;1960;1869;1778;1890;1701;1682;1611;1464;1449;1411;1448;1410;1345;1392;1255;1294
Владивосток;Франчайзи;Мобилка;28650;34846;44458;45891;51163;55838;62125;68751;74712;81155;87143;95112;100645;102622;112436;121837;128652;131510;138147;149890;135650;129660;151812;158083;158040;159774;166578;165926;171422;172376;182189;194328;193694;190821;190033;195666;190984;191994;202562;202510;202851;206848;220157;232797;237126;234778;224556;229916;226821;227453;238958;239050;245820;250301;269438;286805;274918;266766;264134;264714;259436;256779;272609
Владивосток;Франчайзи;Онлайн;42152;49934;50732;52933;48326;30363;35915;40440;39469;59977;62749;56229;42314;40020;44738;49848;37900;37447;51108;66420;71116;80305;84796;88443;97202;113807;135996;143464;144486;167710;158516;159799;158239;156352;141831;165661;140807;148603;159331;155243;147498;168674;150205;153534;147108;143411;144173;150381;139606;138067;153410;142458;145307;144695;163597;174347;171725;172512;175593;184924;172691;172171;189960
Владивосток;Франчайзи;ПК;86881;87717;93581;93713;91071;89526;90893;87979;87528;87343;85071;83988;81363;79738;80697;78057;75492;72815;72164;66306;68992;68660;66905;65895;63051;61952;62902;60601;57988;57855;56544;56021;54509;54777;53608;52397;49529;50212;51292;49235;47187;46449;45026;44346;44233;43010;41754;40750;38792;38256;39140;36910;35891;34435;33000;32786;31962;31884;31061;30215;28728;28120;27906
Владимир;Франчайзи;Мобилка;12038;13352;17621;18875;22901;25035;27275;30943;33721;33279;35914;38258;39634;36787;41313;32715;35365;36227;39925;35409;37889;35532;37383;35531;36351;34789;35735;35552;37408;39057;42183;43855;39974;40521;38982;40731;40768;40807;41570;40790;41308;41969;44539;43684;41324;38310;35993;36019;36813;36186;36854;36912;38425;39255;43307;43931;40500;39512;38444;38654;39545;36844;39382
Владимир;Франчайзи;Онлайн;16630;23032;23917;25190;20645;23719;30873;30819;33087;33853;36174;35440;36055;33502;36053;23143;14288;12522;11299;11435;12826;16415;17717;17643;20290;24716;31577;35016;33985;48633;40292;38881;39845;44032;40291;39247;35336;37934;42783;35965;32851;34433;31498;32420;29359;29919;30507;33086;33847;34115;41096;35096;36365;35876;41451;45230;47319;53244;52113;55256;56182;54954;62900
Владимир;Франчайзи;ПК;8518;8641;9456;9819;8941;8871;9329;9113;9056;9000;8834;8408;8230;8071;8178;7778;7209;7246;7079;6368;6647;7020;6733;6459;6152;6139;6358;6155;5742;5798;5743;5584;5474;5572;5462;5238;4850;5051;5185;4801;4533;4407;4330;4270;4095;4076;4003;3765;3736;3606;3717;3434;3338;3036;2953;2885;2745;2895;2786;2580;2525;2486;2441
Волгоград;Франчайзи;Мобилка;14986;16792;21870;23331;28157;30767;34673;38634;40519;42109;45151;48510;49442;49001;54663;50208;53513;55346;61899;62455;61628;60362;62692;62660;62651;63463;66695;67379;73229;75905;83340;87683;83883;85616;82738;86130;84886;85336;87759;89072;92892;96168;105070;108377;106747;102827;99700;100090;102054;101156;104726;107699;114521;116210;128934;136169;126989;123921;121963;123491;123405;119478;126864
Волгоград;Франчайзи;Онлайн;32568;43359;44639;43416;40469;48585;62468;64768;66014;64289;69427;67759;65818;64430;72259;51748;39356;37992;37970;38676;43738;50677;56408;59876;69219;90528;111121;112997;120338;144778;135987;132550;131321;137019;126816;134854;119159;129290;136083;127703;124137;137698;124522;127129;113355;111621;118142;125764;129764;133187;148084;143714;148939;145836;169094;176957;177420;184884;185032;195718;189605;193516;219777
Волгоград;Франчайзи;ПК;31500;32187;34355;34328;33422;32640;33152;32770;32060;32145;31090;30551;29520;29047;29538;28390;26947;26553;26522;24070;25013;25316;24751;24052;22870;22772;23675;22561;21639;21408;21530;21261;20427;20511;20010;20086;18434;18887;19278;18041;17267;16916;16769;16399;15850;15459;15153;14413;14158;13857;14321;13206;12996;12305;11726;11560;11104;11287;10941;10386;10261;10017;9841
Вологда;Филиал;Мобилка;6248;6837;9107;9707;11466;12637;13879;15693;17375;17469;19094;20557;21135;19954;22629;18745;19794;20219;22856;21315;22049;23393;23012;22556;22999;22146;23476;23439;24232;25954;28111;28766;27457;28913;29078;29877;30024;29396;29640;29838;29840;31173;32497;32764;32698;31508;30196;31019;31531;30575;31981;31790;33781;35563;39391;41845;39360;39290;39544;40829;41303;38405;41104
Вологда;Филиал;Онлайн;11810;15235;16744;18100;16205;18117;26332;27771;29650;26757;28508;28885;29652;26447;29635;20177;11844;10022;8839;8868;11035;13828;15525;16537;18635;25061;32413;37256;36629;50230;42367;40383;40381;44208;40298;41004;36239;37142;38735;37431;35368;37427;32846;34566;30790;31602;33292;36614;37218;37477;42223;42027;44992;44195;51545;55159;60466;65676;67817;73158;72489;75173;83434
Вологда;Филиал;ПК;2960;3213;3619;3779;3410;3229;3363;3322;3323;3463;3534;3279;3366;3326;3464;3296;2871;2837;2817;2453;2730;2903;2792;2686;2478;2587;2685;2620;2385;2469;2463;2469;2388;2489;2414;2381;2227;2253;2351;2221;1967;2025;1872;1897;1839;1871;1782;1673;1663;1673;1703;1566;1542;1405;1294;1306;1285;1394;1295;1187;1170;1175;1179
Воронеж;Франчайзи;Мобилка;17548;20195;25837;26592;31922;34418;38295;42316;47263;49421;53486;57776;59388;58738;66395;64026;67490;70968;77041;71265;83946;82252;87328;88665;88759;89270;94780;92849;97947;103681;109770;114391;118746;121022;122135;125633;124439;126793;131551;130877;133058;135288;139299;143144;157519;159273;153806;156129;157767;157894;166011;165348;171820;175601;185120;192008;193944;194195;194239;198285;197599;192659;202738
Воронеж;Франчайзи;Онлайн;34237;43194;43162;40809;37459;41377;53899;59537;66090;73057;79749;75859;73435;69596;78633;62640;48099;50559;48104;51175;60152;69058;75404;83040;93169;119375;151031;154653;165457;194282;189829;183227;193514;202391;190528;194893;174503;187938;198221;186161;177044;193664;173420;175801;164058;169488;177098;184303;181570;183374;207990;194863;200749;201922;222882;231660;242816;256442;254201;269092;248892;246752;273574
